timestamp,CPULoad,RealMemory,FreeMem,State,NodeName
2025-01-03 14:25:32.731784,0.01,128823,75305,IDLE,node01
2025-01-03 14:25:32.731784,0.05,385420,192916,IDLE,node08
2025-01-03 14:25:32.731784,0.11,385419,149089,IDLE,node17
2025-01-03 14:25:32.731784,0.01,385483,189736,IDLE,node04
2025-01-03 14:25:32.731784,0.01,385483,136186,IDLE,node03
2025-01-03 14:25:32.731784,0.06,385483,374028,IDLE,visu01
2025-01-03 14:25:32.731784,0.09,385483,340838,IDLE,node06
2025-01-03 14:25:32.731784,0.01,385483,362752,IDLE,node07
2025-01-03 14:25:32.731784,0.01,385483,231863,IDLE,node05
2025-01-03 14:25:32.731784,5.2,385419,0,DOWN*,node14
2025-01-03 14:25:32.731784,0.04,385419,91828,IDLE,node10
2025-01-03 14:25:32.731784,0.01,385419,345914,IDLE,node11
2025-01-03 14:25:32.731784,0.01,128823,94300,IDLE,node02
2025-01-03 14:25:32.731784,0.01,385419,151174,IDLE,node13
2025-01-03 14:25:32.731784,0.09,385419,76573,IDLE,node12
2025-01-03 14:25:32.731784,0.03,385419,139631,IDLE,node16
2025-01-03 14:25:32.731784,0.09,385419,80456,IDLE,node09
2025-01-03 14:25:32.731784,0.01,385422,219921,MIXED,node15
2025-01-03 14:35:35.463333,0.08,385419,80457,IDLE,node09
2025-01-03 14:35:35.463333,5.2,385419,0,DOWN*,node14
2025-01-03 14:35:35.463333,0.01,385419,151173,IDLE,node13
2025-01-03 14:35:35.463333,0.06,385419,91827,IDLE,node10
2025-01-03 14:35:35.463333,0.01,385483,231862,IDLE,node05
2025-01-03 14:35:35.463333,0.01,385422,219919,MIXED,node15
2025-01-03 14:35:35.463333,0.01,385419,139632,IDLE,node16
2025-01-03 14:35:35.463333,0.01,385419,345916,IDLE,node11
2025-01-03 14:35:35.463333,0.03,385419,76565,IDLE,node12
2025-01-03 14:35:35.463333,0.04,385420,192918,IDLE,node08
2025-01-03 14:35:35.463333,0.01,128823,75308,IDLE,node01
2025-01-03 14:35:35.463333,0.11,385483,340839,IDLE,node06
2025-01-03 14:35:35.463333,0.05,385419,149090,IDLE,node17
2025-01-03 14:35:35.463333,0.01,385483,362753,IDLE,node07
2025-01-03 14:35:35.463333,0.01,385483,136185,IDLE,node03
2025-01-03 14:35:35.463333,0.01,128823,94301,IDLE,node02
2025-01-03 14:35:35.463333,0.04,385483,374026,IDLE,visu01
2025-01-03 14:35:35.463333,0.07,385483,189739,IDLE,node04
2025-01-03 14:40:30.877767,0.04,385483,189737,IDLE,node04
2025-01-03 14:40:30.877767,0.02,385420,192920,IDLE,node08
2025-01-03 14:40:30.877767,0.01,385483,362754,IDLE,node07
2025-01-03 14:40:30.877767,0.01,128823,75308,IDLE,node01
2025-01-03 14:40:30.877767,0.06,385419,149087,IDLE,node17
2025-01-03 14:40:30.877767,0.01,385483,136184,IDLE,node03
2025-01-03 14:40:30.877767,0.08,385483,340836,IDLE,node06
2025-01-03 14:40:30.877767,0.01,128823,94297,IDLE,node02
2025-01-03 14:40:30.877767,0.02,385483,374028,IDLE,visu01
2025-01-03 14:40:30.877767,0.01,385483,231860,IDLE,node05
2025-01-03 14:40:30.877767,0.02,385419,139630,IDLE,node16
2025-01-03 14:40:30.877767,0.01,385419,76566,IDLE,node12
2025-01-03 14:40:30.877767,0.03,385419,345915,IDLE,node11
2025-01-03 14:40:30.877767,0.07,385419,80452,IDLE,node09
2025-01-03 14:40:30.877767,0.01,385419,151170,IDLE,node13
2025-01-03 14:40:30.877767,0.01,385422,219918,MIXED,node15
2025-01-03 14:40:30.877767,5.2,385419,0,DOWN*,node14
2025-01-03 14:40:30.877767,0.04,385419,91827,IDLE,node10
2025-01-03 14:43:07.146359,0.06,385419,80456,IDLE,node09
2025-01-03 14:43:07.146359,0.01,385419,76565,IDLE,node12
2025-01-03 14:43:07.146359,5.2,385419,0,DOWN*,node14
2025-01-03 14:43:07.146359,0.01,385419,345917,IDLE,node11
2025-01-03 14:43:07.146359,0.01,385483,231863,IDLE,node05
2025-01-03 14:43:07.146359,0.03,385419,151175,IDLE,node13
2025-01-03 14:43:07.146359,0.03,385419,91827,IDLE,node10
2025-01-03 14:43:07.146359,0.01,385422,219920,MIXED,node15
2025-01-03 14:43:07.146359,0.05,385419,139630,IDLE,node16
2025-01-03 14:43:07.146359,0.03,385483,189740,IDLE,node04
2025-01-03 14:43:07.146359,0.06,385420,192922,IDLE,node08
2025-01-03 14:43:07.146359,0.01,385483,374030,IDLE,visu01
2025-01-03 14:43:07.146359,0.06,385419,149088,IDLE,node17
2025-01-03 14:43:07.146359,0.01,128823,75306,IDLE,node01
2025-01-03 14:43:07.146359,0.01,128823,94303,IDLE,node02
2025-01-03 14:43:07.146359,0.01,385483,136189,IDLE,node03
2025-01-03 14:43:07.146359,0.1,385483,340843,IDLE,node06
2025-01-03 14:43:07.146359,0.01,385483,362755,IDLE,node07
2025-01-03 14:48:07.217149,0.08,385420,192921,IDLE,node08
2025-01-03 14:48:07.217149,0.01,385483,362754,IDLE,node07
2025-01-03 14:48:07.217149,0.03,385483,189737,IDLE,node04
2025-01-03 14:48:07.217149,0.01,128823,75301,IDLE,node01
2025-01-03 14:48:07.217149,0.08,385419,149089,IDLE,node17
2025-01-03 14:48:07.217149,0.01,385483,374028,IDLE,visu01
2025-01-03 14:48:07.217149,0.11,385483,340841,IDLE,node06
2025-01-03 14:48:07.217149,0.01,385483,136184,IDLE,node03
2025-01-03 14:48:07.217149,0.01,128823,94300,IDLE,node02
